fdc_id,protein_g,fat_g,carbs_g,calories,description
167512,5.88,13.24,41.18,307.0,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough"
167513,4.34,11.27,53.42,330.0,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough"
167514,6.1,3.7,79.8,377.0,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry"
167515,8.0,1.8,46.0,232.0,"George Weston Bakeries, Thomas English Muffins"
167516,6.58,9.22,41.05,273.0,"Waffles, buttermilk, frozen, ready-to-heat"
167517,7.42,9.49,48.39,309.0,"Waffle, buttermilk, frozen, ready-to-heat, toasted"
167518,6.92,9.4,44.16,289.0,"Waffle, buttermilk, frozen, ready-to-heat, microwaved"
167519,6.71,9.91,45.41,298.0,"Waffle, plain, frozen, ready-to-heat, microwave"
167520,5.1,24.83,64.3,501.0,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust"
167521,6.08,22.42,64.48,484.0,"Pie Crust, Cookie-type, Chocolate, Ready Crust"
167522,2.17,11.5,44.54,290.0,"Pie, Dutch Apple, Commercially Prepared"
167523,5.52,28.74,46.79,468.0,"Pie crust, deep dish, frozen, unbaked, made with enriched flour"
167524,5.8,10.1,45.68,297.0,"Waffles, chocolate chip, frozen, ready-to-heat"
167525,6.15,23.38,64.43,474.0,"Tostada shells, corn"
167526,7.12,17.12,47.84,374.0,"Bread, salvadoran sweet cheese (quesadilla salvadorena)"
167527,7.06,17.45,51.29,390.0,"Bread, pound cake type, pan de torta salvadoran"
167528,5.48,18.5,47.76,379.0,"Pastry, Pastelitos de Guava (guava pastries)"
167529,14.25,13.35,64.35,433.0,"Crackers, snack, Goya Crackers"
167530,7.01,20.37,64.55,484.0,"Crackers, cream, Gamesa Sabrosas"
167531,7.19,19.5,64.88,464.0,"Crackers, cream, La Moderna Rikis Cream Crackers"
167532,10.66,2.15,43.91,238.0,"Bread, white wheat"
167533,10.2,1.53,48.89,250.0,"Bagels, wheat"
167534,4.41,18.52,37.43,334.0,"Cream puff, eclair, custard or cream filled, iced"
167535,8.01,7.58,49.27,297.0,"Tortillas, ready-to-bake or -fry, flour, shelf stable"
167536,33.2,25.6,11.0,410.0,"Snacks, beef jerky, chopped and formed"
167537,6.17,33.36,57.27,539.0,"Snacks, corn-based, extruded, chips, plain"
167538,7.0,32.7,56.2,523.0,"Snacks, corn-based, extruded, chips, barbecue-flavor"
167539,5.8,26.9,62.9,510.0,"Snacks, corn-based, extruded, cones, plain"
167540,1.0,2.68,82.82,359.0,"Snacks, fruit leather, pieces"
167541,0.1,3.0,85.8,371.0,"Snacks, fruit leather, rolls"
167542,10.1,19.8,64.4,471.0,"Snacks, granola bars, hard, plain"
167543,7.7,25.5,62.0,495.0,"Snacks, granola bars, hard, almond"
167544,7.6,17.8,66.4,448.0,"Snacks, granola bars, soft, uncoated, raisin"
167545,5.8,24.9,63.8,466.0,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip"
167546,8.72,20.18,67.41,473.0,"Candies, honey-combed, with peanut butter"
167547,10.2,31.1,53.4,508.0,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter"
167548,9.8,20.0,62.2,432.0,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip"
167549,7.29,43.55,45.06,583.0,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat"
167550,9.7,3.1,80.1,384.0,"Snacks, popcorn, cakes"
167551,6.4,7.8,80.7,400.0,"Snacks, popcorn, caramel-coated, with peanuts"
167552,3.8,12.8,79.1,431.0,"Snacks, popcorn, caramel-coated, without peanuts"
167553,4.56,26.14,64.76,502.0,"Snacks, potato chips, made from dried potatoes, reduced fat"
167554,6.6,37.0,51.3,547.0,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor"
167555,10.04,2.93,80.39,384.0,"Snacks, pretzels, hard, plain, salted"
167556,7.5,16.7,70.9,457.0,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor"
167557,7.6,3.8,81.5,392.0,"Snacks, rice cakes, brown rice, sesame seed"
167558,7.1,20.68,67.78,472.0,"Snacks, tortilla chips, plain, white corn, salted"
