FCID_Code,FCID_Desc,CO2 eq / kg,food_name,fdc_id,protein_g,fat_g,carbs_g,calories,description
101078000,Carrot,0.091616,Carrot,170393,0.93,0.24,9.58,41.0,"Carrots, raw"
103299000,"Potato, tuber, w/peel",0.2174117647058824,"Potato, tuber, w/peel",170032,2.57,0.1,12.44,58.0,"Potatoes, raw, skin"
103366000,Sweet potato,0.3022023529411765,Sweet potato,168482,1.57,0.05,20.12,86.0,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)"
301165000,"Garlic, bulb",0.7425166666666667,"Garlic, bulb",169230,6.36,0.5,33.06,149.0,"Garlic, raw"
301237000,"Onion, bulb",0.26854994631428575,"Onion, bulb",170000,1.1,0.1,9.34,40.0,"Onions, raw"
401204000,"Lettuce, head",0.1582875,"Lettuce, head",169248,0.9,0.14,2.97,14.0,"Lettuce, iceberg (includes crisphead types), raw"
401355000,Spinach,0.30709469696666664,Spinach,168462,2.86,0.39,3.63,23.0,"Spinach, raw"
500061000,Broccoli,0.7972570734695187,Broccoli,170379,2.82,0.37,6.64,34.0,"Broccoli, raw"
500069000,Cabbage,0.21875,Cabbage,169975,1.28,0.1,5.8,25.0,"Cabbage, raw"
500083000,Cauliflower,0.9339695615999999,Cauliflower,169986,1.92,0.28,4.97,25.0,"Cauliflower, raw"
600347000,"Soybean, seed",1.15428,"Soybean, seed",174270,36.49,19.94,30.16,446.0,"Soybeans, mature seeds, raw"
603030000,"Bean, black, seed",0.30778666666666665,"Bean, black, seed",173734,21.6,1.42,62.36,341.0,"Beans, black, mature seeds, raw"
603036000,"Bean, kidney, seed",0.30778666666666665,"Bean, kidney, seed",173744,22.53,1.06,61.29,337.0,"Beans, kidney, red, mature seeds, raw"
603098000,"Chickpea, seed",0.4914,"Chickpea, seed",173756,20.47,6.04,62.95,378.0,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw"
603203000,"Lentil, seed",1.88035,"Lentil, seed",172420,24.63,1.06,63.35,352.0,"Lentils, raw"
801375000,Tomato,0.47037382857142856,Tomato,170457,0.88,0.2,3.89,18.0,"Tomatoes, red, ripe, raw, year round average"
802148000,Eggplant,0.5259634628571428,Eggplant,169228,0.98,0.18,5.88,25.0,"Eggplant, raw"
802270000,"Pepper, bell",0.5246,"Pepper, bell",170108,0.99,0.3,6.03,26.0,"Peppers, sweet, red, raw"
901399000,Watermelon,1.9456,Watermelon,167765,0.61,0.15,7.55,30.0,"Watermelon, raw"
902135000,Cucumber,0.409267925,Cucumber,168409,0.65,0.11,3.63,15.0,"Cucumber, with peel, raw"
1001240000,Orange,0.2936715225601273,Orange,169097,0.94,0.12,11.75,47.0,"Oranges, raw, all commercial varieties"
1100007000,"Apple, fruit with peel",0.2283983960562633,"Apple, fruit with peel",171688,0.26,0.17,13.81,52.0,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)"
1100266000,Pear,0.24879781662857142,Pear,169118,0.36,0.14,15.23,57.0,"Pears, raw"
1202012000,Apricot,0.46440000000000003,Apricot,171697,1.4,0.39,11.12,48.0,"Apricots, raw"
1202260000,Peach,0.27352,Peach,169928,0.91,0.25,9.54,39.0,"Peaches, yellow, raw"
1301055000,Blackberry,0.599008811273034,Blackberry,173946,1.39,0.49,9.61,43.0,"Blackberries, raw"
1301320000,Raspberry,0.23657739130434774,Raspberry,167755,1.2,0.65,11.94,52.0,"Raspberries, raw"
1302057000,Blueberry,0.4959868421052632,Blueberry,171711,0.74,0.33,14.49,57.0,"Blueberries, raw"
1304175000,Grape,0.4778176,Grape,174683,0.72,0.16,18.1,69.0,"Grapes, red or green (European type, such as Thompson seedless), raw"
1307359000,Strawberry,0.61374,Strawberry,167762,0.67,0.3,7.68,32.0,"Strawberries, raw"
1400003000,Almond,2.27203125,Almond,170567,21.15,49.93,21.55,579.0,"Nuts, almonds"
