FCID_Code,FCID_Desc,CO2 eq / kg
101078000,Carrot,0.091616
103299000,"Potato, tuber, w/peel",0.2174117647058824
103366000,Sweet potato,0.3022023529411765
301165000,"Garlic, bulb",0.7425166666666667
301237000,"Onion, bulb",0.26854994631428575
401204000,"Lettuce, head",0.1582875
401355000,Spinach,0.30709469696666664
500061000,Broccoli,0.7972570734695187
500069000,Cabbage,0.21875
500083000,Cauliflower,0.9339695615999999
600347000,"Soybean, seed",1.15428
603030000,"Bean, black, seed",0.30778666666666665
603036000,"Bean, kidney, seed",0.30778666666666665
603098000,"Chickpea, seed",0.4914
603203000,"Lentil, seed",1.88035
801375000,Tomato,0.47037382857142856
802148000,Eggplant,0.5259634628571428
802270000,"Pepper, bell",0.5246
901399000,Watermelon,1.9456
902135000,Cucumber,0.409267925
1001240000,Orange,0.2936715225601273
1100007000,"Apple, fruit with peel",0.2283983960562633
1100266000,Pear,0.24879781662857142
1202012000,Apricot,0.46440000000000003
1202260000,Peach,0.27352
1301055000,Blackberry,0.599008811273034
1301320000,Raspberry,0.23657739130434774
1302057000,Blueberry,0.4959868421052632
1304175000,Grape,0.4778176
1307359000,Strawberry,0.61374
1400003000,Almond,2.27203125
1400081000,Cashew,4.999
1400269000,Pecan,2.0569628623188403
1400391000,Walnut,1.657
1500025000,"Barley, pearled barley",0.39349345733333324
1500127000,"Corn, sweet",0.7570826125
1500233000,"Oat, groats/rolled oats",0.4738225
1500323000,"Rice, white",1.540643545130288
1500324000,"Rice, brown",2.0609339082246336
2100228000,Mushroom,3.09263302175841
2201019000,Asparagus,2.1714399000000006
2202085000,Celery,0.33104400000000006
2402020000,Avocado,0.54675
2402023000,Banana,0.37410691261867585
2402215000,Mango,0.63945
2402245000,Papaya,0.2160202
2403279000,Pineapple,0.9136272727272726
3100044000,"Beef, meat",33.105179355719855
3400290000,"Pork, meat",5.560043945413269
4000093000,"Chicken, meat",4.18784838873177
5000382000,"Turkey, meat",2.571428571428571
7000145000,"Egg, whole",3.7540655999999992
